skill_id,canonical_name,abbreviation,aliases,skill_group,observed_count
SK0312,Transformers,,,"Machine Learning, Statistics & Optimization",0
SK0313,Trino,,,"Distributed, Streaming & Big Data",3
SK0314,TypeScript,,,Programming & Query Languages,3
SK0315,User Acceptance Testing,UAT,,"Data Quality, Testing & Observability",0
SK0316,VBA,,,Programming & Query Languages,0
SK0317,Vector Database,vector DB,vector database; VectorDB,Generative AI & Agentic Systems,1
SK0318,Vector Search,,,Generative AI & Agentic Systems,1
SK0319,Vertex AI,,Google Vertex AI,Cloud Platforms & Services,3
SK0320,Vertex AI Pipelines,,,Cloud Platforms & Services,0
SK0321,Vision-Language Models,VLM,VLMs,"NLP, Vision & Multimodal AI",0
SK0322,Vulnerability Assessment,,,Security Engineering,1
SK0323,Windowing,,,"Distributed, Streaming & Big Data",1
SK0324,XML,,,"Databases, Storage & Data Formats",2
SK0325,dbt,,,Data Engineering & Architecture,7
SK0326,gRPC,,GRPC,Software Engineering & APIs,1
SK0327,scikit-learn,,sklearn; scikit learn; Scikit-learn,"Machine Learning, Statistics & Optimization",2
